Graph,QY Rhyme,GY Rhyme,GY Tone,GY fanqie,GY Baxter,Division,Kai/Hekou,QY Division,PingSheng Eq.,SBGY,MCI,MCF,MCT,Middle Chinese,MC/QY
昨,,鐸,入,在各,dzak,一,開,從,唐,508.11,dz-,-ak,D,dzak,dzâk
穡,,職,入,所力,srik,三,開,生（審二）,蒸,526.35,sr-,-ik,D,srik,
所,,語,上,踈舉,srjoX,三,開,生（審二）,魚,258.23,sr-,-jo,B,srjoX,ṣjwoᴮ
雕,蕭,蕭,平,都聊,tew,四,開,端,蕭,144.35,t-,-ew,A,tew,
房,唐,唐,平,步光,bang,一,開,並,唐,183.22,b-,-jang,A,bjang,bjwaŋ
房,陽,陽,平,符方,bjang,三,開,並,陽,173.06,,,,,
邇,,紙,上,兒氏,nyeX,三,開,日,支,245.12,,,,,ńźieᴮ
要,宵,宵,平,於霄,ʔjiew (IV),三,開,影,宵,150.15,-,-jiew,C,jiewH,Ɂjiäuᶜ 4
要,,笑,去,於笑,ʔjiewH (IV),三,開,影,宵,413.57,,,,,
眉,脂,脂,平,武悲,mij (III),三,開,明,脂,57.06,m-,-ij,A,mij,
紅,東,東,平,戸公,huwng,一,開,匣,東,30.37,h-,-uwng,A,huwng,Ɣuŋ
味,,未,去,無沸,mjɨjH,三,開,明,微,358.44,m-,-j+j,C,mj+jH,mjweiᶜ
攬,,敢,上,盧敢,lamX,一,開,來,談,332.32,,,,,lɑmᴮ
遇,,遇,去,牛具,ngjuH,三,開,疑,虞,364.01,ng-,-ju,C,ngjuH,ŋjuᶜ
友,,有,上,云久,hjuwX,三,開,云（喻三）,尤,321.10,h-,-juw,B,hjuwX,jəuᴮ
宰,,海,上,作亥,tsojX,一,開,精,咍,274.01,,,,,
殷,殷,欣,平,於斤,ʔjɨn,三,開,影,欣,112.21,-,-ean,A,ean,
殷,山,山,平,烏閑,ʔɛn,二,開,影,山,130.05,-,-j+n,A,j+n,
殷,,,,,,,,,,,-,-j+n,A,j+n,
筆,,質,入,鄙密,pit (III),三,開,幫,真,472.41,p-,-it,D,pit,pjet 3
眼,,產,上,五限,ngɛnX,二,開,疑,山,288.03,ng-,-on,B,ngonX,ŋənᴮ
眼,,,,,,,,,,,ng-,-ean,B,ngeanX,ŋănᴮ
事,,志,去,鉏吏,dzriH,三,開,崇（牀二）,之,358.04,dzr-,-i,C,dzriH,dẓiᶜ
事,,志,去,側吏,tsriH,三,開,莊（照二）,之,357.07,,,,,
息,,職,入,相即,sik,三,開,心,蒸,525.18,s-,-ik,D,sik,sjək
